Event ID,Ticket Number,Incident ID,Charger,Serial / Main Asset,Outlet,Fault Codes,Suggested Failure Date,Failure Date Source,Ticket Created,First CableTempSensor Evidence Date,Template yyyy-mm-dd (Review Only),Suggested Label,Confidence Reason,Final Label,Manual Failure Date,Possible Duplicate <=30d,Duplicate Group,Another Event <=90d,Title,Description,Root Cause,Solution,Repair Completed,Repair Evidence Date,Repair Evidence,Fault Flags,Multi-Fault Ticket,Other DC Fault Codes,Match Locations,First CableTempSensor Evidence,Match Count,JSON File
0470293_DC1,0470293,799d300d-f4c7-443a-b397-109b6cd2c930,o118jA,Y2 / S4 313633828004,DC1,DC1_CABLETEMPSENSOR_XD100,2026-01-05T08:29:25Z,ticket_created,2026-01-05T08:29:25Z,2026-01-05T08:29:25Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; sensor/troubleshooting evidence,,,,,,ID0470293-DC/Si-D/DK-[Y2 / S4 313633828004]DC1_CableTempSensor_XD100,Reported behavior/issue-  DC1_CableTempSensor_XD100,,,No,,,,No,,additional_info[3].body; additional_info[3].subject; additional_info[5].subject; additional_info[7].subject; additional_info[9].body; description; title,ID0470293-DC/Si-D/DK-[Y2 / S4 313633828004]DC1_CableTempSensor_XD100 Reported behavior/issue- DC1_CableTempSensor_XD100,7,799d300d-f4c7-443a-b397-109b6cd2c930.json
0469387_DC1,0469387,23814fa4-57f7-480b-b723-9f2c66bd904e,beCkhw,MP/S4 170003526,DC1,DC1_CABLETEMPSENSOR_XD100; DC1_CABLETEMPSENSOR_XD10,2025-12-24T05:28:00Z,ticket_created,2025-12-24T05:28:00Z,2025-12-24T05:28:00Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; diagnostic fault flags,,,,,,ID0469387-DC/Si-D/TR-[MP/S4 170003526] DC1_CableTempSensor_XD100,"Reported behaviour/issue:
DC1_CableTempSensor_XD100
VIV:0 RNE:1 KON:1",,,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[2].body; additional_info[2].subject; additional_info[4].body; additional_info[6].subject; description; title,ID0469387-DC/Si-D/TR-[MP/S4 170003526] DC1_CableTempSensor_XD100 Reported behaviour/issue: DC1_CableTempSensor_XD100 VIV:0 RNE:1 KON:1,6,23814fa4-57f7-480b-b723-9f2c66bd904e.json
0469021_UNKNOWN,0469021,4ee2ece1-97ba-4282-8910-6648fe8325d1,m2npMU,MP / S3 170003441,,,2025-12-22T08:50:35Z,additional_info,2025-12-22T08:45:05Z,2025-12-22T08:50:35Z,,REVIEW,sensor/troubleshooting evidence,,,,,,ID0469021-DC/Si-D/DK-[MP / S3 170003441] Cable Temp Sensor_XD100,"Reported behavior/issue-
Cable Temp Sensor_XD100",,,No,,,,No,,additional_info[2].body,case notes Charger have error on DC1 with CableTempSensor error. Reboot have been attempted with no change We will go to site at measure PT1000 sensors.,1,4ee2ece1-97ba-4282-8910-6648fe8325d1.json
0465308_UNKNOWN,0465308,18d95247-7dcf-f011-bbd2-7ced8d425658,ki0tfz,MP / P1 170000220,,,2025-12-03T09:14:42Z,additional_info,2025-12-02T12:49:07Z,2025-12-03T09:14:42Z,,REVIEW,failure/error language; completed repair/resolution evidence,,,,,,ID0465308-DC/Si-D/PL-[MP / P1 170000220] bind socket failed Address already in use,"Reported behavior/issue-
bind socket failed Address already in use
Workaround: Restart EcoG and docker restart",,,Yes,2025-12-03T09:14:42Z,"ID0465308-DC/Si-D/PL-[MP / P1 170000220] DC2 point charging issue CRM:03056000667 Hi Szymon, good morning. Hope you are doing well. There was a bug on the EcoG and I fixed it remotely with a reboot on the EcoG. Since you don't have SSH access you cannot tell but this error is already addressed to R&D. If you see anytime this kind of error again where you just have the Outlet Error FLag and nothing else or even with the CableTempSensor error, please reach out to me via Teams directly because R&D wants to check the error live if they can do it. I will close the ticket since the problem has been solved. Thank you! Be",,No,,additional_info[5].body,"ID0465308-DC/Si-D/PL-[MP / P1 170000220] DC2 point charging issue CRM:03056000667 Hi Szymon, good morning. Hope you are doing well. There was a bug on the EcoG and I fixed it remotely with a reboot on the EcoG. Since you don't have SSH access you cannot tell but this error is already addressed to R&D. If you see anytime this kind of error again where you just have the Outlet Error FLag and nothing else or even with the CableTempSensor error, please reach out to me via Teams directly because R&D wants to check the error live if they can do it. I will close the ticket since the problem has been solved. Thank you! Best regards, Francisco",1,18d95247-7dcf-f011-bbd2-7ced8d425658.json
0464643_DC4,0464643,fa40ab93-b67f-43a6-8034-1a9f7b2a4019,28fLst,Y2 / R4 313059181006,DC4,DC4_CABLETEMPSENSOR_XD240,2025-11-28T08:23:37Z,additional_info,2025-11-28T08:14:22Z,2025-11-28T08:23:37Z,,REVIEW,failure/error language,,,,,,ID0464643-DC/Si-D/TR-[Y2 / R4 313059181006] Outlet-5 (DC-4) is out of service,Reported behavior/issue- Outlet-5 (DC-4) is out of service,,,No,,,,No,,additional_info[2].body,Case notes Outlet-5 (DC-4) is out of service There are these errors: DC4_CableTempSensor_XD240 d-plc: TransducerDC4_TF204,1,fa40ab93-b67f-43a6-8034-1a9f7b2a4019.json
0464646_DC2,0464646,fd6191d1-6c15-4a1c-b2ac-16e99e7496b2,FV4ELh,Y2/T4314241502027,DC2,DC2_CABLETEMPSENSOR_XD101,2025-11-28T08:18:28Z,ticket_created,2025-11-28T08:18:28Z,2025-11-28T08:18:28Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language; diagnostic fault flags,,,,,,"ID0464646-DC/Si-D/TR-[Y2/T4 314241502027] DC2_CableTempSensor_XD101 (VIV:0 PLE:1, KON:1)","Reported behavior/issue-DC2_CableTempSensor_XD101 (VIV:0 PLE:1, KON:1)
Note: There was no active error found. From the backend status changed the ticket to `Repair done`. So, ticket has been closed.",,,No,,,VIV:0; PLE:1; KON:1,No,,additional_info[2].body; additional_info[3].body; additional_info[3].subject; additional_info[5].subject; additional_info[6].body; additional_info[7].body; description; title,"ID0464646-DC/Si-D/TR-[Y2/T4 314241502027] DC2_CableTempSensor_XD101 (VIV:0 PLE:1, KON:1) Reported behavior/issue-DC2_CableTempSensor_XD101 (VIV:0 PLE:1, KON:1) Note: There was no active error found. From the backend status changed the ticket to `Repair done`. So, ticket has been closed.",8,fd6191d1-6c15-4a1c-b2ac-16e99e7496b2.json
0464125_DC1,0464125,a7c68679-a076-42c1-8644-ce4e5cb56c29,F2bZLu,RVP/T2170004461,DC1,DC1_CABLETEMPSENSOR_XD101,2025-11-26T08:24:31Z,ticket_created,2025-11-26T08:24:31Z,2025-11-26T08:24:31Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; diagnostic fault flags,,,,,,ID0464125-DC/Si-D/SE-[RVP / T2 170004461]-DC1_CableTempSensor_XD101 VIV:0 RNE:1 KON:1,"Reported behavior/issue:
DC1_CableTempSensor_XD101 VIV:0 RNE:1 KON:1.
Solution:
N/A
yyyy-mm-dd:",,N/A,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[2].body; additional_info[2].subject; additional_info[4].subject; description; title,ID0464125-DC/Si-D/SE-[RVP / T2 170004461]-DC1_CableTempSensor_XD101 VIV:0 RNE:1 KON:1 Reported behavior/issue: DC1_CableTempSensor_XD101 VIV:0 RNE:1 KON:1. Solution: N/A yyyy-mm-dd:,5,a7c68679-a076-42c1-8644-ce4e5cb56c29.json
0464018_DC2,0464018,b1983adf-0eca-f011-bbd3-7c1e523625c2,HJoZYw,MP / R6 170002262,DC2,DC2_CABLETEMPSENSOR_XD101,2025-11-25T14:56:09Z,ticket_created,2025-11-25T14:56:09Z,2025-11-25T14:56:09Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,,,Yes,ID0464018-DC/Si-D/PL-[MP / R6 170002262] Error : DC2_CableTempSensor_XD101,"Reported behavior/issue- session aborted due to communication error - error flag:
DC2_CableTempSensor_XD101
The error occurred for transactions: 963764744 and 1382903450
Solution:-
yyyy-mm-dd:-",,-,No,,,,No,,additional_info[2].body; additional_info[2].subject; additional_info[4].subject; description; title,ID0464018-DC/Si-D/PL-[MP / R6 170002262] Error : DC2_CableTempSensor_XD101 Reported behavior/issue- session aborted due to communication error - error flag: DC2_CableTempSensor_XD101 The error occurred for transactions: 963764744 and 1382903450 Solution:- yyyy-mm-dd:-,5,b1983adf-0eca-f011-bbd3-7c1e523625c2.json
0463842_DC1,0463842,ed59bfba-c6c9-f011-bbd3-7ced8d4251b1,Brb5yR,MP / R8 170002420,DC1,DC1_CABLETEMPSENSOR_XD100,2025-11-25T08:30:36Z,additional_info,2025-11-25T06:19:48Z,2025-11-25T08:30:36Z,,REVIEW,failure/error language,,,,,,ID0463842-DC/Si-D/AE- [MP / R8 170002420] OCPP offline,Reported behavior/issue:  One of the outlets out of order with OCPP offline,,,No,,,,No,,additional_info[5].body,"ID0463842-DC/Si-D/AE- [MP / R8 170002420] OCPP offline CRM:03042000226 Dear Service Coordinator / RC, I am writing to inform that we are moving the case 0463842 ﻿from the Technical Support to the eMobility RC-AE SI E Queue. We kindly ask you to take over the case and perform the necessary troubleshooting steps. Customer: Product: Sicharge D - Charging Center Main Asset: MP / R8 170002420 Charger ID / Serial No.: Charger address/functional location: Priority: Medium Handover reason: For the DC1_CableTempSensor_XD100 Please measure on-site and confirm the values by measuring directly on the cables coming from the CCS. If you see the same value, then the CCS is faulty and needs replacement. Otherwise, please measure the 1kOhm until you reach the KF212/214. P1 to P2 and N1 to N2 If you get 1kOhm until the StateMonitor, please try replacing the grey connector with a spare one (they have some connectors on the EcoGs that are not used at all) Or replace the StateMonitor I recommend you to take spare CCS an",1,ed59bfba-c6c9-f011-bbd3-7ced8d4251b1.json
0463711_DC1,0463711,204890ea-3ac9-f011-bbd2-7ced8d483642,n7S3MH,MP / R5 170001874,DC1,DC1_CABLETEMPSENSOR_XD100,2025-11-24T16:07:26Z,additional_info,2025-11-24T13:38:58Z,2025-11-24T16:07:26Z,,REVIEW,failure/error language,,,,,,ID0463711-DC/Si-D/DE-[MP / R5 170001874] bind socket failed Address already in use,"Reported behavior/issue: bind socket failed Address already in use
Solution: Restart EcoG and docker restart",,Restart EcoG and docker restart,No,,,,No,,additional_info[4].subject,"DC1_CableTempSensor_XD100 After consulting with Joao, he told me to handover to SID for further checking.",1,204890ea-3ac9-f011-bbd2-7ced8d483642.json
0463693_DC3,0463693,5cbff085-3d2e-4b9d-9244-73785628b302,agXkqT,RVP/T7170005069,DC3,DC3_CABLETEMPSENSOR_XD230,2025-11-24T12:55:23Z,additional_info,2025-11-24T12:52:14Z,2025-11-24T12:55:23Z,,REVIEW,failure/error language; diagnostic fault flags,,,,,,ID0463693-DC/Si-D/SE-[RVP / T7 170005069]-Both outlets on dispenser out of order,Reported behavior/issue- Both outlets on dispenser out of order,,,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[2].body,Case notes Reported behavior/issue: Both outlets on dispenser out of order. Both show this. DC3_CableTempSensor_XD230 VIV:0 RNE:1 KON:1 DC4_CableTempSensor_XD240 VIV:0 RNE:1 KON:1 We have measured the values both on XD211/XD212 and on KF214 and the are correct but in Ecog portal the show wrong values. We have also checked for bad connections but can't find any. The KF211 is not showing any lights on the leds but we are able to connect to it. Solution: N/A yyyy-mm-dd:,1,5cbff085-3d2e-4b9d-9244-73785628b302.json
0463693_DC4,0463693,5cbff085-3d2e-4b9d-9244-73785628b302,agXkqT,RVP/T7170005069,DC4,DC4_CABLETEMPSENSOR_XD240,2025-11-24T12:55:23Z,additional_info,2025-11-24T12:52:14Z,2025-11-24T12:55:23Z,,REVIEW,failure/error language; diagnostic fault flags,,,,,,ID0463693-DC/Si-D/SE-[RVP / T7 170005069]-Both outlets on dispenser out of order,Reported behavior/issue- Both outlets on dispenser out of order,,,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[2].body,Case notes Reported behavior/issue: Both outlets on dispenser out of order. Both show this. DC3_CableTempSensor_XD230 VIV:0 RNE:1 KON:1 DC4_CableTempSensor_XD240 VIV:0 RNE:1 KON:1 We have measured the values both on XD211/XD212 and on KF214 and the are correct but in Ecog portal the show wrong values. We have also checked for bad connections but can't find any. The KF211 is not showing any lights on the leds but we are able to connect to it. Solution: N/A yyyy-mm-dd:,1,5cbff085-3d2e-4b9d-9244-73785628b302.json
0463590_DC1,0463590,927ef04d-e48c-4a00-a828-46463430b9be,tujg9j,MP / S3 170003386,DC1,DC1_CABLETEMPSENSOR_XD100,2025-11-24T07:47:01Z,ticket_created,2025-11-24T07:47:01Z,2025-11-24T07:47:01Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; sensor/troubleshooting evidence; completed repair/resolution evidence,,,,,,ID0463590-DC/Si-D/DK-[MP / S3 170003386] DC1_CableTempSensor_XD100,Reported behavior/issue- DC1_CableTempSensor_XD100,,,Yes,2025-11-24T08:33:52Z,"Case notes Yet another DC1_CableTempSensor_XD100 error. I just want to say the even if Phoenix says that the issue is fixed, it is not. The cable on this charger have been replaced after the new correction from Phoenix should have been in place.",,No,,additional_info[1].body; additional_info[2].body; additional_info[2].subject; additional_info[7].subject; additional_info[9].body; description; title,ID0463590-DC/Si-D/DK-[MP / S3 170003386] DC1_CableTempSensor_XD100 Reported behavior/issue- DC1_CableTempSensor_XD100,7,927ef04d-e48c-4a00-a828-46463430b9be.json
0462801_DC2,0462801,c5d0d1ee-d7f4-48b0-802e-cfaaf4a5494d,zVi9UU,RVP/T2170004470,DC2,DC2_CABLETEMPSENSOR_XD101,2025-11-19T13:54:38Z,ticket_created,2025-11-19T13:54:38Z,2025-11-19T13:54:38Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; diagnostic fault flags,,,,,,ID0462801-DC/Si-D/SE-[RVP / T2 170004470]-DC2_CableTempSensor_XD101 VIV:0 RNE:1 KON:1,"Reported behavior/issue:
DC2_CableTempSensor_XD101 VIV:0 RNE:1 KON:1.
Solution:
N/A
yyyy-mm-dd:",,N/A,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[2].body; additional_info[2].subject; additional_info[4].subject; description; title,ID0462801-DC/Si-D/SE-[RVP / T2 170004470]-DC2_CableTempSensor_XD101 VIV:0 RNE:1 KON:1 Reported behavior/issue: DC2_CableTempSensor_XD101 VIV:0 RNE:1 KON:1. Solution: N/A yyyy-mm-dd:,5,c5d0d1ee-d7f4-48b0-802e-cfaaf4a5494d.json
0462285_UNKNOWN,0462285,8de6db64-c9c3-f011-bbd3-7c1e523625c2,4gihUD,MP/T1170004362,,,2025-11-17T15:23:44Z,ticket_created,2025-11-17T15:23:44Z,2025-11-17T15:23:44Z,,POSITIVE_MEDIUM,sensor/troubleshooting evidence,,,,,,ID0462285-DC/Si-D/IT-[MP/T1 170004362] DC1 CableTempSensor XD100,"Reported behavior/issue-
DC1 CableTempSensor XD100",,,No,,,,No,,additional_info[2].body; additional_info[2].subject; additional_info[5].body; additional_info[5].subject; additional_info[6].body; description; title,ID0462285-DC/Si-D/IT-[MP/T1 170004362] DC1 CableTempSensor XD100 Reported behavior/issue- DC1 CableTempSensor XD100,7,8de6db64-c9c3-f011-bbd3-7c1e523625c2.json
0458793_DC1,0458793,7bf6d153-94b5-f011-bbd2-7ced8d4259cd,9JAhab,MP / R3 170001593,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-30T13:28:41Z,ticket_created,2025-10-30T13:28:41Z,2025-10-30T13:28:41Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,,,,ID0458793-DC/Si-D/HU-[MP / R3 170001593] DC1_CableTempSensor_XD100,"Reported behavior/issue-
DC1_CableTempSensor_XD100
Workaround: reboot EcoG and docker restart",,,No,,,,No,,additional_info[6].body; description; title,ID0458793-DC/Si-D/HU-[MP / R3 170001593] DC1_CableTempSensor_XD100 Reported behavior/issue- DC1_CableTempSensor_XD100 Workaround: reboot EcoG and docker restart,3,7bf6d153-94b5-f011-bbd2-7ced8d4259cd.json
0458509_DC1,0458509,8a3aab2d-c8b4-f011-bbd2-7c1e52880b1b,cNkABV,MP / NN 170000049,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-29T13:07:14Z,ticket_created,2025-10-29T13:07:14Z,2025-10-29T13:07:14Z,,POSITIVE_MEDIUM,diagnostic fault flags; sensor/troubleshooting evidence; completed repair/resolution evidence,,,,,,ID0458509-DC/Si-D/CZ-[MP / NN 170000049] CableTempSensor_XD100,"Reported behavior/issue-
CableTempSensor_XD100",,,Yes,2025-11-06T06:00:29Z,"RE: ID0458509-DC/Si-D/CZ-[MP / NN 170000049] CableTempSensor_XD100 CRM:03056000350 Hello Francisco, Thank you for the closer look. Today I found out that one PT1000 is most likely broken, showing resistance values in MOhms, whereas on all the other ones I measured 1007 Ohm. We will order a new cable and replace it. Once the cable is replaced, I will be back with the work report in ISP. Kind regards, Milan",VIV:0; RNE:1; KON:1,No,,additional_info[10].subject; additional_info[11].subject; additional_info[12].body; additional_info[2].body; additional_info[2].subject; additional_info[4].body; additional_info[4].subject; additional_info[5].body; additional_info[5].subject; additional_info[7].subject; additional_info[8].subject; additional_info[9].subject; description; title,ID0458509-DC/Si-D/CZ-[MP / NN 170000049] CableTempSensor_XD100 Reported behavior/issue- CableTempSensor_XD100,14,8a3aab2d-c8b4-f011-bbd2-7c1e52880b1b.json
0457906_DC1,0457906,d918d80e-6dc7-452c-a9b7-9ee9e93b452d,MCZnP3,MP / R3 170001644,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-27T08:33:51Z,ticket_created,2025-10-27T08:33:51Z,2025-10-27T08:33:51Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,,,,ID0457906-DC/Si-D/DK-[MP / R3 170001644] DC1_CableTempSensor_XD100,"Reported behavior/issue -
Charger have
DC1_CableTempSensor_XD100
error.
Reboot did not help",,,No,,,,No,,additional_info[2].body; additional_info[2].subject; additional_info[4].subject; additional_info[5].body; additional_info[5].subject; description; title,ID0457906-DC/Si-D/DK-[MP / R3 170001644] DC1_CableTempSensor_XD100 Reported behavior/issue - Charger have DC1_CableTempSensor_XD100 error. Reboot did not help,7,d918d80e-6dc7-452c-a9b7-9ee9e93b452d.json
0457904_DC1,0457904,8c28604d-9809-488d-afcd-f619153cc44b,JNjarC,Y2 / S3 300000007002,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-27T08:31:39Z,ticket_created,2025-10-27T08:31:39Z,2025-10-27T08:31:39Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,,,,ID0457904-DC/Si-D/DK-[Y2/S3 300000007002] DC1_CableTempSensor_XD100,"Reported behavior/issue -
Charger have
DC1_CableTempSensor_XD100
error.
Reboot did not help.",,,No,,,,No,,additional_info[2].body; additional_info[2].subject; additional_info[5].subject; additional_info[7].body; description; title,ID0457904-DC/Si-D/DK-[Y2/S3 300000007002] DC1_CableTempSensor_XD100 Reported behavior/issue - Charger have DC1_CableTempSensor_XD100 error. Reboot did not help.,6,8c28604d-9809-488d-afcd-f619153cc44b.json
0457903_DC1,0457903,9589e092-aa8a-4d6a-b938-dfffb94bb964,J5Le4t,MP / S2 170003251,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-27T08:29:40Z,ticket_created,2025-10-27T08:29:40Z,2025-10-27T08:29:40Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,,,,ID0457903-DC/Si-D/DK-[MP / S2 170003251] DC1_CableTempSensor_XD100,"Reported behavior/issue -
Charger have
DC1_CableTempSensor_XD100
error.
Reboot did not help.",,,No,,,,No,,additional_info[2].body; additional_info[2].subject; description; title,ID0457903-DC/Si-D/DK-[MP / S2 170003251] DC1_CableTempSensor_XD100 Reported behavior/issue - Charger have DC1_CableTempSensor_XD100 error. Reboot did not help.,4,9589e092-aa8a-4d6a-b938-dfffb94bb964.json
0457902_DC1,0457902,730ebcab-2ea1-456f-b01f-d505b3cd9578,CXYzbN,MP / S3 170003354,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-27T08:26:59Z,ticket_created,2025-10-27T08:26:59Z,2025-10-27T08:26:59Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,,,,ID0457902-DC/Si-D/DK-[MP / S3 170003354] DC1_CableTempSensor_XD100,"Reported behavior/issue -
Charger have
DC1_CableTempSensor_XD100
error.
Reboot did not clear the error.",,,No,,,,No,,additional_info[2].body; additional_info[2].subject; additional_info[4].subject; additional_info[6].body; description; title,ID0457902-DC/Si-D/DK-[MP / S3 170003354] DC1_CableTempSensor_XD100 Reported behavior/issue - Charger have DC1_CableTempSensor_XD100 error. Reboot did not clear the error.,6,730ebcab-2ea1-456f-b01f-d505b3cd9578.json
0456624_DC1,0456624,885b51de-c80e-4012-afb4-6565f6482b0a,8yL3vI,MP/S4170003523,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-20T10:14:05Z,ticket_created,2025-10-20T10:14:05Z,2025-10-20T10:14:05Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; diagnostic fault flags,,,,,,ID0456624-DC/Si-D/TR-[MP / S4 170003523]DC1_CableTempSensor_XD100' initial value true - (VIV:0 PLE:1 KON:1),Reported Behavior/Issue: DC1_CableTempSensor_XD100' initial value true - (VIV:0 PLE:1 KON:1),,,No,,,VIV:0; PLE:1; KON:1,No,,additional_info[2].body; additional_info[2].subject; additional_info[5].body; additional_info[6].body; description; title,ID0456624-DC/Si-D/TR-[MP / S4 170003523]DC1_CableTempSensor_XD100' initial value true - (VIV:0 PLE:1 KON:1) Reported Behavior/Issue: DC1_CableTempSensor_XD100' initial value true - (VIV:0 PLE:1 KON:1),6,885b51de-c80e-4012-afb4-6565f6482b0a.json
0455118_UNKNOWN,0455118,c8166422-1255-4274-9ac3-ed7026d8c92f,3vXyTq,MP / S6 170003726,,,2025-10-17T10:37:40Z,additional_info,2025-10-13T05:45:59Z,2025-10-17T10:37:40Z,,REVIEW,sensor/troubleshooting evidence,,,,,,ID0455118-DC/Si-D/DE- [MP / S6 170003726] Outlet 1 faulted,"Dear Support Team,
please take a look at the Charger.
Outlet 1 faulted OCPP Errorcode: ""evse not ready""
Thank you and best regards,
Felix",,,No,,,,No,,additional_info[4].body; additional_info[5].body,"Status update DC1 has permanent CableTempSensor error. DC1 is Phoenix Cable 375A 5m, possible detachment of PT1000 for quality issue. Onsite visit required for PT1000 measurements and cable replacement. Waiting on Prod Care to know which spare part needs to be ordered in replacement of Phoenix 375A 5m (Q-Feedback release blocked).",2,c8166422-1255-4274-9ac3-ed7026d8c92f.json
0454396_DC1,0454396,db0ab5de-8f77-4885-b27f-02d988fa2cab,DKLyuA,MP / R0 170002831,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-14T12:56:09Z,additional_info,2025-10-08T09:59:57Z,2025-10-14T12:56:09Z,,REVIEW,failure/error language; diagnostic fault flags,,,,,,ID0454396-DC/Si-D/DE-[MP / R0 170002831] Faulted Outlet,"Reported behavior/issue -
Faulted Outlet
Solution:
“One or more connected SMC to the converter group has ON or OFF feedback fault (this converter group is disabled and converter group at another end of faulty SMC is probably enabled)”
Please proceed with replacing both converters: +F04-QA09 and +F04-QA10.",,“One or more connected SMC to the converter group has ON or OFF feedback fault (this converter group is disabled and converter group at another end of faulty SMC is probably enabled)” Please proceed with replacing both converters: +F04-QA09 and +F04-QA10.,No,,,VIV:0; PLE:1; KON:1,No,,additional_info[13].body; additional_info[15].body; additional_info[16].body,Semih DKLyuA_170002831 Powersafe Mode nothing serious uoQAdw_170000422 PLC-Error-Flag 'DC1_CableTempSensor_XD100' initial value true - (VIV:0 PLE:1 KON:1) DC1_CableTempSensor_XD100 QA09 and QA10 aHNoZm_170000415 Charging / No_Error ???,3,db0ab5de-8f77-4885-b27f-02d988fa2cab.json
0453809_DC1,0453809,346ad67a-8fa2-f011-bbd3-6045bde0265d,b5Ry0v,MP / R4 170001711,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-06T08:36:06Z,ticket_created,2025-10-06T08:36:06Z,2025-10-06T08:36:06Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,,,,ID0453809-DC/Si-D/FR-[MP / R4170001711] DC1_CableTempSensor_XD100,"Reported behavior/issue -
Cable failure issue",,,No,,,,No,,additional_info[5].subject; additional_info[8].subject; title,ID0453809-DC/Si-D/FR-[MP / R4170001711] DC1_CableTempSensor_XD100 Reported behavior/issue - Cable failure issue,3,346ad67a-8fa2-f011-bbd3-6045bde0265d.json
0453772_DC1,0453772,240eb673-7fa2-f011-bbd3-000d3addf8ce,DAKQ2p,MP / NN 170000045,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-06T07:09:16Z,additional_info,2025-10-06T06:41:20Z,2025-10-06T07:09:16Z,,REVIEW,diagnostic fault flags,,,,,,ID0453772-DC/Si-D/CZ-[MP / NN 170000045] Plug errors,"Reported behaviour/issue: Voltage Temperature issue
Solution: NA
yyyy-mm-dd: NA",,NA,No,,,VIV:0; PLE:1; KON:1,No,,additional_info[3].body,"Issue description can you please check on charger MP / NN 170000045 where we face the following issue? 2025-10-06T05:18:07.642500+00:00 -> PLC-Error-Flag 'DC1_CableTempSensor_XD100' initial value true - (VIV:0 PLE:1 KON:1) Transaction started 2025-10-06T05:15:45.345229+00:00 -> DC1: PilotState ""B2"" --> ""C2"" Immediately before error we were delivering 142 kW to the EV. Note that the ambient temperature during that time could be around 10 °C maximum 2025-10-06T05:18:07.921311+00:00 -> |ID=137|DC1: |EVSE_MaxPwr[kW]=169|EVSE_MaxCur[A]=400|EVSE_NowPwr[kW]=142.4",1,240eb673-7fa2-f011-bbd3-000d3addf8ce.json
0453407_DC1,0453407,b916264f-8a9f-f011-b41c-6045bddf3f78,7UU7cO,MP / PD 170001321,DC1,DC1_CABLETEMPSENSOR_XD100,2025-10-02T12:21:26Z,ticket_created,2025-10-02T12:21:26Z,2025-10-02T12:21:26Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description; other DC faults also present,,,,,,ID0453407-DC/Si-D/BE-[MP / PD 170001321] DC1_CableTempSensor_XD100,"Reported behavior/issue- Charging session issue due to DC1_CableTemp_SensorXD100
Solution: Replace CCS",,Replace CCS,No,,,,Yes,DC1_CABLETEMP_SENSORXD100,additional_info[11].subject; additional_info[12].body; additional_info[12].subject; additional_info[13].body; additional_info[13].subject; additional_info[14].body; additional_info[14].subject; additional_info[15].subject; additional_info[17].subject; additional_info[7].subject; title,ID0453407-DC/Si-D/BE-[MP / PD 170001321] DC1_CableTempSensor_XD100 Reported behavior/issue- Charging session issue due to DC1_CableTemp_SensorXD100 Solution: Replace CCS,11,b916264f-8a9f-f011-b41c-6045bddf3f78.json
0449730_DC1,0449730,4d846a85-7787-4784-8eb6-1fa73b485f8c,SrrbIK,RVP/T2 170004462,DC1,DC1_CABLETEMPSENSOR_XD100,2025-09-15T06:52:20Z,ticket_created,2025-09-15T06:52:20Z,2025-09-15T06:52:20Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; diagnostic fault flags,,,,,,ID0449730-DC/Si-D/SE-[RVP / T2 170004462]-DC1_CableTempSensor_XD100 VIV:0 RNE:1 KON:1,"Reported behavior/issue:
DC1_CableTempSensor_XD100
VIV:0 RNE:1 KON:1.
work: Reboot EcoG and docker restart
yyyy-mm-dd:",,,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[2].body; additional_info[2].subject; additional_info[4].subject; additional_info[5].body; description; title,ID0449730-DC/Si-D/SE-[RVP / T2 170004462]-DC1_CableTempSensor_XD100 VIV:0 RNE:1 KON:1 Reported behavior/issue: DC1_CableTempSensor_XD100 VIV:0 RNE:1 KON:1. work: Reboot EcoG and docker restart yyyy-mm-dd:,6,4d846a85-7787-4784-8eb6-1fa73b485f8c.json
